Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,1475.609985,1475.609985,1468.849976,1474.380005,1474.380005,129733800
2022-12-13,1476.530029,1477.290039,1469.469971,1470.119995,1470.119995,139788100
2022-12-14,1471.890015,1483.170044,1471.640015,1483.170044,1483.170044,203191200
2022-12-15,1481.780029,1482.109985,1466.250000,1467.130005,1467.130005,190145800
2022-12-16,1461.760010,1478.540039,1459.310059,1478.540039,1478.540039,251764100
2022-12-19,1476.719971,1477.410034,1471.569946,1477.089966,1477.089966,103220400
2022-12-20,1473.729980,1476.229980,1464.859985,1467.319946,1467.319946,93572900
2022-12-21,1467.010010,1469.420044,1458.819946,1462.550049,1462.550049,92165900
2022-12-22,1463.790039,1468.349976,1462.410034,1468.349976,1468.349976,67390900
2022-12-23,1469.160034,1474.869995,1460.569946,1474.680054,1474.680054,48286800
2022-12-27,1474.390015,1477.430054,1468.150024,1474.689941,1474.689941,114386800
2022-12-28,1473.550049,1480.109985,1461.180054,1480.109985,1480.109985,134741200
2022-12-29,1476.270020,1491.630005,1472.540039,1491.630005,1491.630005,107605300
2022-12-30,1491.930054,1503.329956,1479.130005,1495.489990,1495.489990,242921700
2023-01-03,1488.540039,1488.540039,1473.800049,1473.989990,1473.989990,59804600
2023-01-04,1472.849976,1476.140015,1469.550049,1469.550049,1469.550049,99239400
2023-01-05,1472.459961,1481.010010,1471.910034,1480.930054,1480.930054,114428100
2023-01-06,1479.530029,1482.390015,1474.479980,1480.550049,1480.550049,73345700
2023-01-09,1484.560059,1493.420044,1483.930054,1493.420044,1493.420044,107069100
2023-01-10,1490.400024,1491.219971,1480.369995,1485.130005,1485.130005,148942700
2023-01-11,1487.040039,1489.000000,1484.209961,1487.869995,1487.869995,130154200
2023-01-12,1488.569946,1491.349976,1486.150024,1488.660034,1488.660034,147707800
2023-01-13,1488.050049,1495.030029,1488.050049,1495.030029,1495.030029,120946200
2023-01-16,1494.810059,1496.050049,1489.000000,1493.560059,1493.560059,118165300
2023-01-17,1492.530029,1499.380005,1488.949951,1499.380005,1499.380005,109129200
2023-01-18,1495.310059,1496.630005,1491.050049,1495.500000,1495.500000,112489800
2023-01-19,1494.800049,1501.709961,1493.420044,1496.219971,1496.219971,132631400
2023-01-20,1496.880005,1500.329956,1495.800049,1500.329956,1500.329956,106940500
2023-01-25,1501.300049,1501.859985,1494.729980,1499.449951,1499.449951,83468600
2023-01-26,1497.410034,1498.390015,1494.030029,1498.390015,1498.390015,94842000
2023-01-27,1499.969971,1500.910034,1493.069946,1497.550049,1497.550049,116233200
2023-01-30,1499.750000,1500.949951,1494.150024,1499.390015,1499.390015,154968600
2023-01-31,1493.790039,1493.890015,1485.500000,1485.500000,1485.500000,227210500
2023-02-02,1488.819946,1493.209961,1485.900024,1489.800049,1489.800049,190424300
2023-02-03,1490.560059,1493.339966,1485.250000,1490.469971,1490.469971,123555800
2023-02-07,1487.819946,1487.989990,1471.790039,1476.380005,1476.380005,157016900
2023-02-08,1476.390015,1479.949951,1469.010010,1470.750000,1470.750000,143187400
2023-02-09,1471.300049,1471.300049,1463.750000,1464.640015,1464.640015,133461000
2023-02-10,1465.050049,1476.030029,1463.310059,1474.589966,1474.589966,105719000
2023-02-13,1474.719971,1475.170044,1469.260010,1475.170044,1475.170044,110899900
2023-02-14,1477.130005,1485.579956,1476.060059,1483.969971,1483.969971,117992500
2023-02-15,1482.800049,1488.189941,1478.310059,1488.189941,1488.189941,95417000
2023-02-16,1487.839966,1494.540039,1483.540039,1484.260010,1484.260010,128062600
2023-02-17,1484.030029,1484.760010,1473.150024,1476.900024,1476.900024,153358600
2023-02-20,1474.250000,1477.479980,1471.069946,1473.459961,1473.459961,160268400
2023-02-21,1474.109985,1477.359985,1471.849976,1474.010010,1474.010010,94234300
2023-02-22,1472.489990,1473.229980,1462.599976,1464.000000,1464.000000,142969300
2023-02-23,1464.579956,1467.630005,1456.300049,1457.650024,1457.650024,138265300
2023-02-24,1458.660034,1460.189941,1448.089966,1456.800049,1456.800049,166737000
2023-02-27,1456.040039,1458.180054,1447.550049,1455.500000,1455.500000,173142300
2023-02-28,1456.489990,1458.969971,1452.430054,1454.189941,1454.189941,246842100
2023-03-01,1454.380005,1454.380005,1444.390015,1450.199951,1450.199951,137107700
2023-03-02,1451.339966,1457.020020,1447.060059,1455.489990,1455.489990,103775800
2023-03-03,1457.780029,1457.780029,1452.619995,1453.550049,1453.550049,101759100
2023-03-06,1458.770020,1460.979980,1452.119995,1452.680054,1452.680054,97343200
2023-03-07,1453.969971,1461.420044,1452.640015,1458.670044,1458.670044,114286600
2023-03-08,1455.469971,1458.630005,1451.079956,1454.660034,1454.660034,116583700
2023-03-09,1454.819946,1455.119995,1448.449951,1449.530029,1449.530029,112442800
2023-03-10,1445.800049,1445.800049,1433.079956,1433.079956,1433.079956,118232000
2023-03-13,1419.420044,1423.660034,1409.930054,1421.829956,1421.829956,130371500
2023-03-14,1416.959961,1416.959961,1393.829956,1393.829956,1393.829956,208134800
2023-03-15,1400.099976,1406.569946,1399.800049,1403.930054,1403.930054,158859400
2023-03-16,1400.819946,1403.930054,1391.040039,1391.599976,1391.599976,123798800
2023-03-17,1397.280029,1416.920044,1397.229980,1411.729980,1411.729980,281587900
2023-03-20,1408.180054,1408.520020,1400.489990,1401.810059,1401.810059,95554800
2023-03-21,1407.160034,1412.810059,1403.959961,1406.550049,1406.550049,89710500
2023-03-22,1408.599976,1413.520020,1406.510010,1412.040039,1412.040039,104359400
2023-03-23,1406.969971,1410.979980,1403.550049,1410.979980,1410.979980,106373400
2023-03-24,1411.130005,1411.670044,1399.699951,1399.699951,1399.699951,116712200
2023-03-27,1400.949951,1404.650024,1396.599976,1396.599976,1396.599976,109243200
2023-03-28,1401.599976,1409.229980,1398.420044,1409.089966,1409.089966,89163800
2023-03-29,1407.479980,1422.689941,1407.479980,1420.349976,1420.349976,98993200
2023-03-30,1417.810059,1425.369995,1415.099976,1424.609985,1424.609985,105758500
2023-03-31,1424.790039,1429.479980,1421.359985,1422.589966,1422.589966,138336300
2023-04-03,1426.770020,1433.390015,1426.770020,1433.390015,1433.390015,96205600
2023-04-04,1432.239990,1432.829956,1426.630005,1429.609985,1429.609985,99190200
2023-04-05,1429.290039,1430.199951,1425.709961,1429.550049,1429.550049,54635100
2023-04-06,1431.319946,1431.319946,1416.670044,1424.890015,1424.890015,101716000
2023-04-07,1424.859985,1427.079956,1421.619995,1427.040039,1427.040039,76320400
2023-04-10,1427.890015,1429.650024,1425.189941,1428.130005,1428.130005,57424000
2023-04-11,1429.119995,1435.890015,1426.500000,1435.890015,1435.890015,92736300
2023-04-12,1437.020020,1437.079956,1429.000000,1434.739990,1434.739990,92391900
